NUM|CONSOLKEY|CRFTYPE|CRF_TXN_CODE|TID|PARENTBRCA|BRCA_CO|CCY|PSTA|DRCR|EXRATE|CURRMAR|ACCOFF|TRAT|PLCATE|PRODCA|SYSID|DESK|DLREF|OUREF|THREF|CSNM|COUNTERPARTY|VALD|PSTD|EXDATE|INPUTTER|AUTHORISER|RSMK|REMK|CURRNO|SYS_DATE|CATEGORY|SECTOR|TENOR|PRODCODE|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184812311944521.020001|0608|0608|CNY|14.280000|1||1|1|450|51001|21053|LD|00|LD1802239426|LD1802239426||1002957||20180702|20180702||42_INPUTTER|42_INPUTTER|||1|20180702|51001|3049|MT|21053|
500105|PL.51500.21060.3063.ST.03002..00......CN0010606|51500|ACC|184431031071266.050001|0606|0606|CNY|1361.110000|1||1|1|450|51500|21060|LD|00|LD1802935862|LD1802935862||1004372||20180701|20180702||34_INPUTTER|34_INPUTTER|||1|20180702|51500|3063|ST|21060|
50110101|PL.50000.1112.3049..........CN0010611|||184810040244666.080001|0611|0611|CNY|-0.140000|0||1|9999|380|50000|1112|IC|||1061102000004983||1000989|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3049||1112|
500105|PL.51500.21060.3063.ST.03002..00......CN0010606|51500|ACC|184811397744527.040001|0606|0606|CNY|1361.110000|1||1|1|450|51500|21060|LD|00|LD1802935862|LD1802935862||1004372||20180702|20180702||49_INPUTTER|49_INPUTTER|||1|20180702|51500|3063|ST|21060|
50110101|PL.50000.1112.3203..........CN0010606|||184812311944671.050001|0606|0606|CNY|-0.010000|0||1|1|380|50000|1112|IC|||1060602000007485||1004375|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|3203||1112|
501104|PL.50000.6122.1002..........CN0010606|||184810387444666.010001|0606|0606|CNY|-5.340000|0||1|9999|380|50000|6122|IC|||1060606000001897||1000342|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
501102|PL.50000.6131.3203..........CN0010606|||184810724044666.030001|0606|0606|CNY|-333.010000|0||1|9999|380|50000|6131|IC|||1060607000002019||1001234|||20180702||47_INPUTTER|47_INPUTTER|||1|20180702|50000|3203||6131|
59010202|PL.51001.21053.3203.MT.02199.SECU.00......CN0010606|51001|ACC|184431704771266.010001|0606|0606|CNY|2750.410000|1||1|1|450|51001|21053|LD|00|LD1727211486|LD1727211486||1003676||20180701|20180702||37_INPUTTER|37_INPUTTER|||1|20180702|51001|3203|MT|21053|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184432704671264.080001|0608|0608|CNY|74.150000|1||1|1|450|51001|21053|LD|00|LD1808287473|LD1808287473||1002957||20180701|20180702||40_INPUTTER|40_INPUTTER|||1|20180702|51001|3049|MT|21053|
50010101|PL.51001.21055.3063.ST.02304.UNSECU.00......CN0010606|51001|ACC|184432704671266.320001|0606|0606|USD|124.310000|1|6.616600|1|9999|450|51001|21055|LD|00|LD1813418319|LD1813418319||1001150||20180701|20180702||40_INPUTTER|40_INPUTTER|||1|20180702|51001|3063|ST|21055|
