NUM|IN_TYPE|TRADE_ID|TRADE_ID_T|BRCA|PARENTBRCA|BRCA_CO|PARENTBRCA_CO|CSNM|CTNM|DTYP|CCY|PSTA|PSTD|RSMK|REMK|TRADE_ID_O|VALD|CNLSC|SYS_DATE|
50031102|3|0609101000000423||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|201.6700|20180212||||20180212|GAR|20180702|
50031102|3|0609101000000443||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|770.5800|20180212||||20180212|GAR|20180702|
113212|2|0609101000000455||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|332.3400|20180226||||20180226|GAR|20180702|
50031102|3|0609101000000473||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|520.6900|20180226||||20180226|GAR|20180702|
50031102|3|0609101000000493||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|286.9400|20180226||||20180226|GAR|20180702|
113212|2|0609101000000501||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|207.3100|20180228||||20180228|GAR|20180702|
113212|2|0609101000000511||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|261.2000|20180228||||20180228|GAR|20180702|
113212|2|0609101000000521||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|708.6500|20180228||||20180228|GAR|20180702|
113212|2|0609101000000535||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|165.7100|20180307||||20180307|GAR|20180702|
113212|2|0609101000000545||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|261.2000|20180312||||20180312|GAR|20180702|
113212|2|0609101000000555||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|633.1500|20180312||||20180312|GAR|20180702|
113212|2|0609101000000565||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|41.6000|20180313||||20180313|GAR|20180702|
113212|2|0609101000000575||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|75.5000|20180314||||20180314|GAR|20180702|
50031102|3|0609101000000633||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|522.6200|20180320||||20180320|GAR|20180702|
