LCNO|TRAT|GTYPEA|GTYPEB|CTNM|CSNM|RESC|ISDT|BEFC|MALC|LCCR|LCAM|LCTE|COMS|OCMS|CNLOBS|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|UNEARN_FEE|CUST_AGRNO|BANK_PAY_FLG|ORIG_LCAM|SYS_DATE|
MD1726507807|收到保函|||国泰世华银行 香港分行|9000031||20170922|||CNY|20000000.000000|20180315||||||||||0606|0606|0.000000||2|0.000000|20180702|
MD1729620002|备用信用证|001||正圆精密科技（苏州）有限公司|1001234||20171023|1001234||CNY|3300000.000000|20181023|,||1001234.0003042.01.03||3042.01|循环综授－备用信用证|USD|1500000.000000||0606|0606|0.000000|2017开保字第00039号|2|3300000.00|20180702|
MD1730418230|备用信用证|001||正圆精密科技（苏州）有限公司|1001234||20171031|||CNY|3000000.000000|20181031|,||1001234.0003042.01.03||3042.01|循环综授－备用信用证|USD|1500000.000000||0606|0606|0.000000|2017开保字第00039号|2|3000000.00|20180702|
MD1730691921|收到保函|||国泰世华银行 香港分行|9000031||20171102|1002187||CNY|500000.000000|20181117||||||||||0606|0606|0.000000||2|0.000000|20180702|
MD1730751769|保证||002|爱派克斯国际物流（中国）有限公司|1002187||20171103|||CNY|500000.000000|20181102|||1002187.0003040.01.03||3040.01|循环综授－保函|CNY|8350000.000000||0606|0606|0.000000|2017开保字第00019-1号|2|500000.00|20180702|
MD1731842437|收到保函|||国泰世华银行境外金融中心|9000077||20171114|1002675||CNY|8700000.000000|20180814||||||||||0606|0606|0.000000||2|0.000000|20180702|
MD1800454017|备用信用证|001||江苏澳太斯纺织品实业有限公司|1004265|A|20180104|9000032||CNY|5000000.000000|20190104|,||1004265.0003042.01.01||3042.01|循环综授－备用信用证|CNY|30000000.000000||0606|0606|0.000000|2017开保字第00070号|2|5000000.00|20180702|
MD1802659862|保证||002|上海兴庚基础工程有限公司|1001357||20180126|||CNY|1500000.000000|20190125|||1001357.0003040.01.01||3040.01|循环综授－保函|CNY|5000000.000000||0606|0606|0.000000|2018开保字第00004号|2|1500000.00|20180702|
MD1803600395|备用信用证|001||东莞正圆精密科技有限公司|1001036|A|20180205|9000032||CNY|1400000.000000|20190205|,||1001036.0003042.01.03||3042.01|循环综授－备用信用证|USD|600000.000000||0606|0606|0.000000|2017开保字第00042号|2|1400000.00|20180702|
MD1803644043|备用信用证|001||东莞正圆精密科技有限公司|1001036|A|20180205|||CNY|1200000.000000|20190205|,||1001036.0003042.01.03||3042.01|循环综授－备用信用证|USD|600000.000000||0606|0606|0.000000|2017开保字第00042号|2|1200000.00|20180702|
