NUM|NAME|CCY|PARENTBRCA|BRCA|BALANCE|CLSFCT_ITEM|DA|CA|ACT_DATE|
22121305|应交税费-应交增值税-进项税额转出|CNY|||0.000000|负债|0.000000|0.000000|20180701|
22121308|应交税费-应交增值税-转出未交增值税|CNY|||0.000000|负债|0.000000|0.000000|20180701|
221214|应交税费-未交增值税|CNY|||-2671074.360000|负债|0.000000|0.000000|20180701|
221216|应交税费-待抵扣进项税额|CNY|||69409.030000|负债|0.000000|0.000000|20180701|
221223|应交税费-代扣代缴利息所得税|CNY|||-4.040000|负债|0.000000|0.000000|20180701|
221225|应交税费-转让金融商品应交增值税|CNY|||607649.450000|负债|0.000000|0.000000|20180701|
2221|其他应付款|CNY|||-5415189.750000|负债|0.000000|0.000000|20180701|
222105|其他应付款-预提费用|CNY|||-370417.450000|负债|0.000000|0.000000|20180701|
222106|其他应付款-假定税 |CNY|||-91898.810000|负债|0.000000|0.000000|20180701|
222111|其他应付款-无形资产|CNY|||-739955.000000|负债|0.000000|0.000000|20180701|
222199|其他应付款-其他应付款项|CNY|||-4212918.490000|负债|0.000000|0.000000|20180701|
22219914|其他应付款-其他应付款项-总行代垫|CNY|||-1684322.710000|负债|0.000000|0.000000|20180701|
22219999|其他应付款-其他应付款项-其他应付款项（其他）|CNY|||-2528595.780000|负债|0.000000|0.000000|20180701|
3002|资本公积|CNY|||-467216870.390000|權益|0.000000|0.000000|20180701|
3002|资本公积|EUR|||-47674.620000|權益|0.000000|0.000000|20180701|
3002|资本公积|USD|||-6513995.160000|權益|0.000000|0.000000|20180701|
3002|资本公积|GBP|||474.120000|權益|0.000000|0.000000|20180701|
3002|资本公积|HKD|||236.270000|權益|0.000000|0.000000|20180701|
3002|资本公积|JPY|||-1556624.260000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|CNY|||-467216870.390000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|EUR|||-47674.620000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|HKD|||236.270000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|USD|||-6513995.160000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|GBP|||474.120000|權益|0.000000|0.000000|20180701|
300299|资本公积-其他资本公积|JPY|||-1556624.260000|權益|0.000000|0.000000|20180701|
4005|系统内往来|CNY|||421971774.740000|资产负债共同类|0.000000|0.000000|20180701|
4005|系统内往来|JPY|||1556624.260000|资产负债共同类|0.000000|0.000000|20180701|
4005|系统内往来|USD|||6486227.360000|资产负债共同类|0.000000|0.000000|20180701|
4005|系统内往来|EUR|||47674.620000|资产负债共同类|0.000000|0.000000|20180701|
4005|系统内往来|GBP|||-474.120000|资产负债共同类|0.000000|0.000000|20180701|
4005|系统内往来|HKD|||-236.270000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|EUR|||47674.620000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|GBP|||-474.120000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|USD|||6486227.360000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|CNY|||421971774.740000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|HKD|||-236.270000|资产负债共同类|0.000000|0.000000|20180701|
400501|系统内往来-系统内往来|JPY|||1556624.260000|资产负债共同类|0.000000|0.000000|20180701|
1002|银行存款|CNY||0606|0.000000|资产|0.000000|0.000000|20180701|
100201|银行存款-存放同业银行存款|CNY||0606|0.000000|资产|0.000000|0.000000|20180701|
1015|存放联行款项|CNY||0606|5035258.400000|资产|0.000000|0.000000|20180701|
1015|存放联行款项|USD||0606|370117.150000|资产|0.000000|0.000000|20180701|
1015|存放联行款项|EUR||0606|118936.500000|资产|0.000000|0.000000|20180701|
1015|存放联行款项|HKD||0606|51443.780000|资产|0.000000|0.000000|20180701|
