LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1715155807|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170531|20170708|SINOPEC CHEMICAL COMMERCIAL|||TF171515580701,|1001269.0003022.01.03|||USD|798000.000000000000|0.000000|23020|CNY6816.57,CNY136.67,CNY6454.44,CNY135.88,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1704103735|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170210|20170328|BESTWIN CHEMICAL ENGINEERING|||TF170410373501,|1001269.0003022.01.03|||USD|240293.160000000000|0.000000|23020|CNY2065.92,CNY137.56,CNY2061.43,CNY137.26,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1717066062|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170619|20170921|BESTWIN CHEMICAL ENGINEERING|||TF171706606201,|1001269.0003022.01.03|||USD|604048.000000000000|0.000000|23020|CNY5140.79,CNY136.17,CNY717.86,CNY20.00,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1717850999|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170627|20170823|SINOPEC CHEMICAL COMMERCIAL|||TF171785099901,|1001269.0003022.01.03|||USD|819000.000000000000|0.000000|23020|CNY7006.44,CNY136.88,CNY6871.87,CNY134.56,|LCJKKZ,LCXBDF,LCCDFK,LCJKZFK,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1718432608|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170703|20170810|BESTWIN CHEMICAL ENGINEERING|||TF171843260801,|1001269.0003022.01.03|||USD|336027.000000000000|0.000000|23020|CNY2850.27,CNY135.72,CNY2856.92,CNY136.03,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1723799024|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170825|20171021|BESTWIN CHEMICAL ENGINEERING|||TF172379902401,|1001269.0003022.01.03|||USD|114009.000000000000|0.000000|23020|CNY949.41,CNY133.24,CNY930.82,CNY130.63,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1724318087|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170831|20171021|BESTWIN CHEMICAL ENGINEERING|||TF172431808701,|1001269.0003022.01.03|||USD|48220.020000000000|0.000000|23020|CNY397.70,CNY131.96,CNY393.55,CNY130.59,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1711508601|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170425|20170523|SINOPEC CHEMICAL COMMERCIAL|||TF171150860101,|1001269.0003022.01.03|||USD|714000.000000000000|0.000000|23020|CNY6146.29,CNY137.73,CNY5858.75,CNY137.85,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1725668501|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170913|20171031|BESTWIN CHEMICAL ENGINEERING|||TF172566850101,|1001269.0003022.01.03|||USD|72756.000000000000|0.000000|23020|CNY593.24,CNY130.46,CNY601.98,CNY132.38,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1730621208|IUNU|丰锦国际贸易（上海）有限公司|1001269||20171102|20171221|BESTWIN CHEMICAL ENGINEERING|||TF173062120801,|1001269.0003022.01.03|||USD|78246.240000000000|0.000000|23020|CNY647.45,CNY132.39,CNY649.43,CNY132.80,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1732809031|IUNU|丰锦国际贸易（上海）有限公司|1001269||20171124|20180121|BESTWIN CHEMICAL ENGINEERING|||TF173280903101,TF173280903102,|1001269.0003022.01.04|||USD|240094.590000000000|0.000000|23020|CNY1975.08,CNY131.62,CNY1000.11,CNY131.64,CNY960.65,CNY129.66,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1732837240|IUNU|丰锦国际贸易（上海）有限公司|1001269||20171124|20180107|SINOPEC CHEMICAL COMMERCIAL|||TF173283724001,|1001269.0003022.01.04|||USD|1879500.000000000000|0.000000|23020|CNY15461.24,CNY131.62,CNY14782.49,CNY132.13,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1734188413|IUNU|丰锦国际贸易（上海）有限公司|1001269||20171207|20180121|BESTWIN CHEMICAL ENGINEERING|||TF173418841301,TF173418841302,|1001269.0003022.01.04|||USD|219525.540000000000|0.000000|23020|CNY1816.44,CNY132.39,CNY921.19,CNY129.84,CNY852.99,CNY128.74,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1717009488|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170619|20170807|SINOPEC CHEMICAL COMMERCIAL|||TF171700948801,|1001269.0003022.01.03|||USD|1638000.000000000000|0.000000|23020|CNY13940.30,CNY136.17,CNY12530.96,CNY135.29,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1802239016|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180122|20180321|BESTWIN CHEMICAL ENGINEERING|||TF180223901601,TF180223901602,|1001269.0003022.01.04|||USD|449536.000000000000|0.000000|23020|CNY3602.58,CNY128.22,CNY2334.79,CNY125.77,CNY1207.38,CNY126.67,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1803097294|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180130|20180328|BESTWIN CHEMICAL ENGINEERING|||TF180309729401,|1001269.0003022.01.04|||USD|82566.720000000000|0.000000|23020|CNY653.43,CNY126.62,CNY650.41,CNY126.04,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1622132712|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160808|20160908|SK NETWORKS CO.,LTD|||TF162213271201,|1001269.0003022.01.02|||USD|633150.000000000000|0.000000|23020|CNY5270.97,CNY133.20,CNY4782.01,CNY133.56,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1622335096|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160810|20160916|SINO COAST LIMITED|||TF162233509601,|1001269.0003022.01.02|||USD|640500.000000000000|0.000000|23020|CNY5321.67,CNY132.94,CNY5231.44,CNY133.19,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1816331241|INSU|无锡国丰电子科技有限公司|1002179||20180612|20190214|MASCHINENFABRIK NIEHOFF||||1002179.0003022.01.01|||EUR|928000.000000000000|928000.000000|23010|CNY8749.07,CNY128.24,CNY229.49,CNY131.14,|LCJKKZ,LCXBDF,LCKZXG,LCXBDF,||1002179.0003022.01|3022|USD|2000000.000000||0606|0606||2|20180702|
TF1810260335|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180412|20180528|BESTWIN CHEMICAL ENGINEERING|||TF181026033501,|1001269.0003022.01.04|||USD|168973.440000000000|168973.440000|23020|CNY1327.16,CNY132.57,CNY1325.83,CNY125.54,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1813431087|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180514|20180616|SINOPEC CHEMICAL COMMERCIAL|||TF181343108701,|1001269.0003022.01.04|||USD|1060500.000000000000|1060500.000000|23020|CNY8397.17,CNY126.69,CNY8491.79,CNY128.42,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1814195541|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180521|20180708|SINOPEC CHEMICAL COMMERCIAL|||TF181419554101,|1001269.0003022.01.04|||USD|2121000.000000000000|2121000.000000|23020|CNY16928.76,CNY127.70,CNY15342.88,CNY127.92,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1725450939|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170911|20171011|BESTWIN CHEMICAL ENGINEERING|||TF172545093901,|1001269.0003022.01.03|||USD|243692.160000000000|0.000000|23020|CNY1982.05,CNY130.14,CNY1992.88,CNY130.85,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1620808767|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160726|20160829|SINO COAST LIMITED|||TF162080876701,|1001269.0003022.01.02|||USD|646800.000000000000|0.000000|23020|CNY5399.57,CNY133.57,CNY5111.95,CNY132.78,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1621001330|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160728|20160831|SK NETWORKS CO.,LTD|||TF162100133001,|1001269.0003022.01.01|||USD|640500.000000000000|0.000000|23020|CNY5333.84,CNY133.24,CNY5333.65,CNY133.25,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1621774887|IUNC|丰锦国际贸易（上海）有限公司|1001269||20160804|20160916|SINO COAST LIMITED|||TF162177488701,|1001269.0003022.01.02|||USD|644700.000000000000|0.000000|23020|CNY5346.98,CNY132.70,CNY5266.58,CNY133.19,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1816275832|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180611|20180716|SINOPEC CHEMICAL COMMERCIAL||||1001269.0003022.01.04|||USD|976500.000000000000|976500.000000|23020|CNY7819.81,CNY128.13,|LCJKKZ,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1816541080|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180614|20180823|SINOPEC CHEMICAL COMMERCIAL|||TF181654108001,|1001269.0003022.01.04|||USD|1932000.000000000000|1932000.000000|23020|CNY15446.82,CNY127.92,CNY14412.26,CNY131.92,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1801208035|IUNU|丰锦国际贸易（上海）有限公司|1001269||20180112|20180331|BESTWIN CHEMICAL ENGINEERING|||TF180120803501,|1001269.0003022.01.04|||USD|175814.400000000000|0.000000|23020|CNY1427.00,CNY129.86,CNY1390.41,CNY126.53,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1628684083|IUNU|上海慧高精密电子工业有限公司|1001142||20161012|20161120|HUA ENG WIRE AND CABLE CO., LTD.|||TF162868408301,TF162868408302,|1001142.0003022.01.01|||USD|408174.400000000000|0.000000|23020|CNY3429.69,CNY134.44,CNY3438.77,CNY134.80,CNY3457.85,CNY135.54,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1629995742|IUNU|上海慧高精密电子工业有限公司|1001142||20161025|20161121|HUA ENG WIRE AND CABLE CO., LTD.|||TF162999574201,|1001142.0003022.01.01|||USD|102043.600000000000|0.000000|23020|CNY864.21,CNY135.50,CNY1725.71,CNY135.29,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1612000002|IUNU|上海慧银国际贸易有限公司|1001265||20160224|20160301|KONGWELL TRADING LIMITED|||TF161200000201,|1001265.0003022.01.01|||CNY|6199200.000000000000|0.000000|23020|||||||||0606|0606|365|2|20180702|
TF1612000004|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160321|20160421|BESTWIN CHEMICAL ENGINEERING|||TF161200000401,|1001269.0003022.01.01|||USD|283968.000000000000|0.000000|23020||||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1612000005|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160324|20160524|SINOPEC CHEMICAL COMMERCIAL HOLDING|||TF161200000501,|1001269.0003022.01.01|||USD|699300.000000000000|0.000000|23020|CNY5427.71,CNY130.41,|LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1613030807|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160509|20160621|SINO COAST LIMITED|||TF161303080701,|1001269.0003022.01.01|||USD|668850.000000000000|0.000000|23020|CNY5433.32,CNY129.97,CNY5214.25,CNY131.61,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1702037891|IUNU|上海慧高精密电子工业有限公司|1001142||20170120|20170313|HUA ENG WIRE AND CABLE CO., LTD|||TF170203789101,TF170203789102,TF170203789103,|1001142.0003022.01.01|||USD|606125.000000000000|0.000000|23020|CNY5209.76,CNY137.52,CNY4162.35,CNY137.34,CNY4159.87,CNY137.26,CNY2086.27,CNY137.68,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1706168384|IUNU|上海慧高精密电子工业有限公司|1001142||20170302|20170506|SUMI-PAC CORPORATION|||TF170616838401,|1001142.0003022.01.01|||USD|36204.000000000000|0.000000|23020|CNY311.47,CNY137.65,CNY568.33,CNY137.66,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|30|2|20180702|
TF1618670194|IUNU|上海慧高精密电子工业有限公司|1001142||20160704|20160820|HUA ENG WIRE AND CABLE CO., LTD.|||TF161867019401,TF161867019402,|1001142.0003022.01.01|||USD|402051.200000000000|0.000000|23020|CNY3345.67,CNY133.14,CNY3361.05,CNY133.76,CNY3344.74,CNY133.11,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1621637732|IUNU|上海慧高精密电子工业有限公司|1001142||20160803|20160920|HUA ENG WIRE AND CABLE CO., LTD.|||TF162163773201,TF162163773202,|1001142.0003022.01.01|||USD|420063.200000000000|0.000000|23020|CNY3480.93,CNY132.59,CNY3482.64,CNY132.65,CNY3489.99,CNY132.93,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1624917286|IUNU|上海慧高精密电子工业有限公司|1001142||20160905|20161021|HUA ENG WIRE AND CABLE CO., LTD.|||TF162491728601,TF162491728602,|1001142.0003022.01.01|||USD|412256.000000000000|0.000000|23020|CNY3441.98,CNY133.59,CNY3436.62,CNY133.38,CNY3453.67,CNY134.04,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1626337927|IUNU|上海慧高精密电子工业有限公司|1001142||20160919|20161021|SUMI-PAC CORPORATION|||TF162633792701,|1001142.0003022.01.01|||USD|37317.000000000000|0.000000|23020|CNY311.10,CNY133.39,CNY600.99,CNY134.49,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|30|2|20180702|
TF1713506505|IUNU|上海慧高精密电子工业有限公司|1001142||20170515|20170620|HUA ENG WIRE AND CABLE CO., LTD.|||TF171350650501,|1001142.0003022.01.01|||USD|243706.800000000000|0.000000|23020|CNY2101.18,CNY137.95,CNY4199.34,CNY137.85,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1715399940|IUNU|上海慧高精密电子工业有限公司|1001142||20170602|20170706|HUA ENG WIRE AND CABLE CO., LTD.|||TF171539994001,|1001142.0003022.01.01|||USD|239460.000000000000|0.000000|23020|CNY2040.95,CNY136.37,CNY4069.26,CNY135.95,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1630944405|IUNU|上海慧高精密电子工业有限公司|1001142||20161104|20161221|HUA ENG WIRE AND CABLE CO., LTD.|||TF163094440501,TF163094440502,|1001142.0003022.01.01|||USD|410171.200000000000|0.000000|23020|CNY3468.31,CNY135.29,CNY3522.22,CNY137.40,CNY3533.29,CNY137.83,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1633760993|IUNU|上海慧高精密电子工业有限公司|1001142||20161202|20170120|HUA ENG WIRE AND CABLE CO., LTD.|||TF163376099301,TF163376099302,TF163376099303,|1001142.0003022.01.01|||USD|467060.000000000000|0.000000|23020|CNY4018.93,CNY137.68,CNY2015.28,CNY138.07,CNY2029.04,CNY139.02,CNY4057.50,CNY139.00,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1633797693|IUNU|上海慧高精密电子工业有限公司|1001142||20161202|20170205|SUMI-PAC CORPORATION|||TF163379769301,|1001142.0003022.01.01|||USD|39844.350000000000|0.000000|23020|CNY342.85,CNY137.68,CNY635.36,CNY138.24,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|30|2|20180702|
TF1635892409|IUNU|上海慧高精密电子工业有限公司|1001142||20161223|20170205|HUA ENG WIRE AND CABLE CO., LTD.|||TF163589240901,TF163589240902,|1001142.0003022.01.01|||USD|492400.000000000000|0.000000|23020|CNY4277.45,CNY138.99,CNY4248.89,CNY138.06,CNY4254.43,CNY138.24,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1722817062|IUNU|上海慧高精密电子工业有限公司|1001142||20170816|20170920|HUA ENG WIRE AND CABLE CO., LTD.|||TF172281706201,|1001142.0003022.01.01|||USD|254944.000000000000|0.000000|23020|CNY2130.55,CNY133.71,CNY4245.90,CNY130.00,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1724909009|IUNU|上海慧高精密电子工业有限公司|1001142||20170906|20171017|HUA ENG WIRE AND CABLE CO., LTD.|||TF172490900901,|1001142.0003022.01.01|||USD|274927.200000000000|0.000000|23020|CNY2245.35,CNY130.00,CNY4473.05,CNY130.56,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1706197925|IUNU|上海慧高精密电子工业有限公司|1001142||20170302|20170415|HUA ENG WIRE AND CABLE CO., LTD.|||TF170619792501,TF170619792502,TF170619792503,|1001142.0003022.01.01|||USD|633273.000000000000|0.000000|23020|CNY5448.13,CNY137.65,CNY4381.96,CNY138.39,CNY4363.98,CNY137.82,CNY2182.72,CNY137.87,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1709509744|IUNU|上海慧高精密电子工业有限公司|1001142||20170405|20170506|HUA ENG WIRE AND CABLE CO., LTD.|||TF170950974401,|1001142.0003022.01.01|||USD|248660.800000000000|0.000000|23020|CNY2140.50,CNY137.73,CNY4287.53,CNY137.94,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1710891010|IUNU|上海慧高精密电子工业有限公司|1001142||20170418|20170516|HUA ENG WIRE AND CABLE CO., LTD.|||TF171089101001,|1001142.0003022.01.01|||USD|248660.800000000000|0.000000|23020|CNY2141.61,CNY137.80,CNY4282.65,CNY137.78,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1712372058|IUNU|上海慧高精密电子工业有限公司|1001142||20170503|20170605|HUA ENG WIRE AND CABLE CO., LTD.|||TF171237205801,|1001142.0003022.01.01|||USD|243706.800000000000|0.000000|23020|CNY2099.50,CNY137.84,CNY4207.66,CNY138.12,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1615437058|IUNU|上海慧高精密电子工业有限公司|1001142||20160602|20160721|HUA ENG WIRE AND CABLE CO., LTD.|||TF161543705801,TF161543705802,|1001142.0003022.01.01|||USD|415880.000000000000|0.000000|23020|CNY3420.77,CNY131.61,CNY3423.26,CNY131.70,CNY3418.64,CNY131.52,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1727103083|IUNU|上海慧高精密电子工业有限公司|1001142||20170928|20171105|HUA ENG WIRE AND CABLE CO.,LTD.|||TF172710308301,|1001142.0003022.01.01|||USD|274927.200000000000|0.000000|23020|CNY2277.94,CNY132.57,CNY4555.06,CNY132.55,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1716690413|IUNU|上海慧高精密电子工业有限公司|1001142||20170615|20170721|HUA ENG WIRE AND CABLE CO., LTD.|||TF171669041301,|1001142.0003022.01.01|||USD|239460.000000000000|0.000000|23020|CNY2033.69,CNY135.89,CNY4095.21,CNY136.82,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1718641872|IUNU|上海慧高精密电子工业有限公司|1001142||20170705|20170820|HUA ENG WIRE AND CABLE CO., LTD.|||TF171864187201,|1001142.0003022.01.01|||USD|243779.200000000000|0.000000|23020|CNY2070.89,CNY135.92,CNY4133.25,CNY135.64,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1719519308|IUNU|上海慧高精密电子工业有限公司|1001142||20170714|20170820|HUA ENG WIRE AND CABLE CO., LTD.|||TF171951930801,|1001142.0003022.01.01|||USD|243779.200000000000|0.000000|23020|CNY2066.03,CNY135.60,CNY4120.17,CNY135.21,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1721447625|IUNU|上海慧高精密电子工业有限公司|1001142||20170802|20170920|HUA ENG WIRE AND CABLE CO., LTD.|||TF172144762501,|1001142.0003022.01.01|||USD|254944.000000000000|0.000000|23020|CNY2143.47,CNY134.52,CNY4335.54,CNY133.43,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1809234068|INSU|山东力诺特种玻璃股份有限公司|1001063||20180402|20180930|OCMI-OTG S.P.A. ITALY||100.000000|TF180923406801,|1001063.0003121.05.01|||EUR|352600.000000000000|20000.000000|23010|CNY10220.86,CNY125.53,|LCJKKZ,LCXBDF,||1001063.0003121.05|3121|EUR|352600.000000||0606|0606||2|20180702|
TF1612000001|IUNU|上海慧高精密电子工业有限公司|1001142||20160114|20160320|HUA ENG WIRE AND CABLE CO., LTD.|||TF161200000101,TF161200000102,|1001142.0003022.01.01|||USD|396000.000000000000|0.000000|23020||||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1612000003|IUNU|上海慧高精密电子工业有限公司|1001142||20160302|20160420|HUA ENG WIRE AND CABLE CO.,LTD|||TF161200000301,TF161200000302,|1001142.0003022.01.01|||USD|390178.400000000000|0.000000|23020||||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1612000006|IUNU|上海慧高精密电子工业有限公司|1001142||20160401|20160521|HUA ENG WIRE AND CABLE CO.,LTD|||TF161200000601,TF161200000602,|1001142.0003022.01.01|||USD|427404.000000000000|0.000000|23020||||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1612000007|IUNU|上海慧高精密电子工业有限公司|1001142||20160405|20160603|SUMI-PAC CORPORATION|||TF161200000701,|1001142.0003022.01.01|||USD|37317.000000000000|0.000000|23020|CNY589.48,CNY130.07,|LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|30|2|20180702|
TF1612000008|IUNU|上海慧高精密电子工业有限公司|1001142||20160425|20160620|HUA ENG WIRE AND CABLE CO., LTD.|||TF161200000801,TF161200000802,|1001142.0003022.01.01|||USD|517000.000000000000|0.000000|23020|CNY3362.26,CNY130.07,CNY5067.97,CNY130.70,|LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001142.0003022.01|3022|USD|3500000.000000||0606|0606|90|2|20180702|
TF1621419358|UNSU|山东力诺特种玻璃股份有限公司|1001063||20160801|20170115|OCMI-OTG S.P.A||50.000000|TF162141935801,|1001063.0003123.01.02|||EUR|460000.000000000000|20000.000000|23002|CNY12785.36,CNY132.68,|LCJKKZ,LCXBDF,||1001063.0003123.01|3123|USD|6779843.870000||0606|0606||2|20180702|
TF1630608090|INSU|山东力诺特种玻璃股份有限公司|1001063||20161101|20170430|OCMI-OTG S.P.A.ITALY||50.000000|TF163060809002,|1001063.0003123.01.02|||EUR|460000.000000000000|20000.000000|23010|CNY12813.82,CNY135.49,|LCJKKZ,LCXBDF,||1001063.0003123.01|3123|USD|6779843.870000||0606|0606||2|20180702|
