LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1733417493|EUNU|GINTECH ENERGY CORPORATION||9000109|20171130|20180202|山东大海新能源发展有限公司|1004158||TF173341749301,TF173341749302,TF173341749303,TF173341749304,TF173341749305,TF173341749306,TF173341749307,TF173341749308,TF173341749309,TF173341749310,||||USD|2661120.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1733451534|EUNU|GINTECH ENERGY CORPORATION||9000110|20171130|20180105|山东大海新能源发展有限公司|1004158||TF173345153401,||||USD|441504.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1735648132|EUNU|TSEC CORPORATION||9000117|20171221|20180126|山东大海新能源发展有限公司|1004158||TF173564813201,||||USD|130032.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1800371654|EUNU|SOLARTECH ENERGY CORP.||9000062|20180103|20180303|山东大海新能源发展有限公司|1004158||TF180037165401,TF180037165402,TF180037165403,TF180037165405,||||USD|1152403.200000000000|0.000000|23140|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1800500042|EUNU|GINTECH ENERGY CORPORATION||9000050|20180103|20180309|山东大海新能源发展有限公司|1004158||TF180050004201,TF180050004202,TF180050004203,TF180050004204,TF180050004205,||||USD|846720.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1800587012|EUNU|TSEC CORPORATION||9000134|20180105|20180226|山东大海新能源发展有限公司|1004158||TF180058701201,TF180058701202,TF180058701203,||||USD|884736.000000000000|0.000000|23140|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1734135973|EUNU|TAINERGY TECH CO.,LTD.||9000050|20171206|20171231|山东大海新能源发展有限公司|1004158||TF173413597301,TF173413597302,||||USD|520128.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1734190673|EUNU|TRINA SOLAR(SINGAPORE) SCIENCE||9000112|20171207|20180130|山东大海新能源发展有限公司|1004158||TF173419067301,TF173419067302,TF173419067303,TF173419067304,TF173419067305,TF173419067306,||||USD|1964928.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1800800051|ENSU|MING HWEI ENERGY CO., LTD.||9000116|20180105|20180202|山东大海新能源发展有限公司|1004158||TF180080005101,||||USD|309657.600000000000|0.000000|23120|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1800823362|EUNU|TAINERGY TECH CO.,LTD.||9000050|20180105|20180228|山东大海新能源发展有限公司|1004158||TF180082336201,||||USD|589824.000000000000|0.000000|23140|USD20.00,|LCLZZD,|||||||0606|0606||2|20180702|
TF1800823978|EUNU|GINTECH ENERGY CORPORATION||9000115|20180104|20180309|山东大海新能源发展有限公司|1004158||TF180082397801,TF180082397802,TF180082397803,TF180082397804,TF180082397805,TF180082397806,||||USD|1707264.000000000000|0.000000|23140|USD20.00,USD10.00,|LCLZZD,LCLZXG,|||||||0606|0606||2|20180702|
TF1801271406|EUNU|TAINERGY TECH CO.,LTD.||9000062|20180112|20180302|山东大海新能源发展有限公司|1004158||TF180127140601,||||USD|290304.000000000000|9216.000000|23140|||||||||0606|0606||2|20180702|
TF1801966015|EUNU|MING HWEI ENERGY CO., LTD.||9000116|20180118|20180223|山东大海新能源发展有限公司|1004158||TF180196601501,||||USD|304128.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1734725695|ENSU|MING HWEI ENERGY CO., LTD.||9000116|20171208|20180109|山东大海新能源发展有限公司|1004158||TF173472569501,TF173472569502,||||USD|407736.000000000000|313344.000000|23120|||||||||0606|0606||2|20180702|
TF1809203370|EUNU|GINTECH ENERGY CORPORATION||9000068|20180326|20180421|山东大海新能源发展有限公司|1004158||TF180920337001,TF180920337002,||||USD|930816.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
